,level_0,index,Unnamed: 0,text,rating,time_created,Name,sentiment
185,185,0,0,"I really love the concept of a spot selling both coffee and brew! 

Came with a few girlfriends and I got a Pilsner that was tasty. They also have some...",5,2021-07-26 16:54:06,Ashley C.,Good
186,186,1,1,Great breakfast sandwich. I've had breakfast sandwiches in restaurants from Florida tourist towns to Korean golf courses and hundreds of places in between....,5,2021-10-23 10:05:22,Iain M.,Good
187,187,2,2,"How would you say ""small yet big tap house "".

There are good sized, upper deck, lower deck and small meetings room. Very cool setup and modern decor.

Good...",5,2020-09-06 13:56:33,Randy P.,Good
188,188,0,0,"I am shocked by the bad reviews of Noodles Express!  It sounds like people are expecting it to be gourmet.  Come on people, the place has the word ""express""...",4,2015-12-14 09:24:01,Jocelyn A.,Good
189,189,1,1,New location Located at the South Gate mall.  Clean with friendly staff. Food good and hot.,4,2020-09-07 13:39:48,Stephanie H.,Good
190,190,2,2,"Decent for mall food. Usually no more than a 5-7 minute wait for your order, which is good. Recommend the chicken osaka rice bowl.",3,2019-05-05 21:32:21,Kyle D.,Bad
191,191,0,0,"All the usual diner favorites, standard stuff, but THE TOMATO SOUP!!! Delectable! *chef's kiss*

I've been away for 15 years now but the taste of that soup...",4,2021-10-19 19:23:42,Bob L.,Good
192,192,1,1,"4Bs or not 4Bs, that is the question! -William ""Will. I. Am."" Shakespeare

(I counted as fast as I could, but those Bs were moving pretty darn quick, so I...",5,2021-07-11 14:14:34,Ted K.,Good
193,193,2,2,"Was in town on business and dined here once for dinner and the next day for breakfast. Both times the food was fresh, appetizing, and was sufficient...",5,2021-04-22 07:14:22,Denny H.,Good
194,194,0,0,Great breakfast and friendly staff. I wasn't sure what to expect but was pleasantly surprised. Eggs were perfect. Sausage was great. Tomatoes on the side...,5,2021-07-18 10:09:55,Wayne W.,Good
195,195,1,1,"Wonderful trick stop food. Had the beef pasty in brown gravy. Awesome! Took friends to a fancy downtown restaurant last night. This was better. 

Friendly...",5,2021-06-29 15:45:58,Curtis S.,Good
196,196,2,2,"Love this place! The Corned beef hash is absolutely outstanding...homemade, tender, and cooked perfectly with that crisp on the outside ! They also give you...",5,2021-04-28 12:13:03,Kevin S.,Good
197,197,0,0,"Motherfucking veggie burger where u @@@? Hollr at your veggie burger, chick peas hella thick
 bruschetta here is choice af too 
You eat shit loads tho

Take...",4,2017-02-25 15:48:54,Sk8 L.,Good
198,198,1,1,"Solid 3 stars. 
I can not recommend them for breakfast.  I ordered the crab cake benedict. The crab patty... well.. I am not sure, but was that supposed to...",3,2019-08-19 16:03:49,Gretchen H.,Bad
199,199,2,2,Wow! We've been here for breakfast twice and it was outstanding. Thank goodness downtown Missoula has an early breakfast spot. Great menu variety which...,5,2021-01-31 08:07:53,Jacquie M.,Good
200,200,0,0,Consistently great food and drinks here. One of the best burgers I've ever had!! Also the wings and the spinach dip are some of the best in town. Large...,5,2020-01-30 16:05:28,Kelsey L.,Good
201,201,1,1,Service is good. Drinks are hand crafted and fancy. Nice date spot. They have darts and games. Didn't try the food but everyone elses plates looked good.,5,2021-05-16 16:47:28,Haylee S.,Good
202,202,2,2,"I gotta say from the outside this place always gives off a bit of a sketch vibe (to me)...BUT it magically transforms once you walk inside. Really!

This is...",4,2019-11-11 19:29:31,Jennifer T.,Good
203,203,0,0,I love the Missoula Cafe Rio so much! The management and staff are so welcoming and efficient!  (Shout out to Jason and Lacey!) One of my favorite place to...,5,2021-07-15 08:01:11,Irma S.,Good
204,204,1,1,Service was great...the food was excellent. Will definitely be back...they handled lunch rush really well.,5,2021-05-28 11:50:57,Rich A.,Good
205,205,2,2,"Ok for ""Montana"" Mexican.  They don't skimp on the meat & ingredients.  Wish they offered corn tortillas.  I hope they start cooking their chips a bit...",3,2021-02-13 07:55:53,Mark H.,Bad
206,206,0,0,Fantastic food.  Excellent service.  Couldn't ask for better dining experience.  Loved the Ahi Tuna. Deserts were delicious as well.,5,2021-06-05 15:47:01,Ann C.,Good
207,207,1,1,"Don't waste your money. Spent over 100$ on dinner for two, sauces spilled everywhere in my bag, food arrived soggy, AND they forgot our rice. They did comp...",1,2021-11-07 16:59:38,Montana P.,Bad
208,208,2,2,"Taking into consideration that everyone is short staffed, but the service was soooo slow. Food was very disappointing. Cold and raw-ish meat with the beef...",2,2021-10-17 13:10:17,Deborah C.,Bad
209,209,0,0,"I'd been in the road a few days & needed something green & fresh for dinner. Ambrosia's Greek salad really hot the spot: crunchy, juicy tomatoes, not too...",4,2021-06-15 10:04:29,Amanda C.,Good
210,210,1,1,I'm an expert on Gyros and this place is incredible.  I don't live in Missoula but I always gas up at the Costco on the way through town and Ambrosia is...,5,2020-12-28 12:13:04,Darren C.,Good
211,211,2,2,Easily the best gyros in town. The service is great and very friendly. They definitely give you big portions with a lot of gyro meat for only $8.00.,5,2021-03-12 17:50:25,MaryBeth B.,Good
212,212,0,0,"So, I don't give many 5 stars, but well deserved tonight. 
Ambiance: much nicer than your typical hotel restaurant. Large bonfire outside, but I forgot a...",5,2021-11-29 19:46:37,Daniel B.,Good
213,213,1,1,"This restaurant is located in the Double Tree hotel and it overlooks the river for a great dining experience...

There's a classy vibe with a circle bar...",4,2021-09-09 01:57:46,Steff A.,Good
214,214,2,2,"Known for ""flying in fresh fish"" but they don't have any fish dishes on their lunch menu.",1,2021-11-14 12:17:14,Bertha H.,Bad
215,215,0,0,It's like Chinese and Italian fast food in a bowl I had the Wiscosin Mac n cheese it was alright. It's a good place to get your carbs,3,2021-06-20 10:55:38,Tom B.,Bad
216,216,1,1,I don't come here on a regular basis because it's a bit out of my way and on the other end of town. I have only tried a couple things from the menu and both...,3,2021-05-01 22:36:04,Lisa W.,Bad
217,217,2,2,"5/23/21 update:
My 3-cheese tortellini rosa has great flavor and was cooked properly. The zucchini pesto with chicken is also very good. It is cold out, so...",5,2021-05-23 14:35:56,Jen B.,Good
218,218,0,0,"This place is pretty rad.  Came to see 406 play and the place was packed.  Great beer selection and helpful staff.

Dance floor is slick as shit so be...",5,2017-11-11 19:44:29,Emily M.,Good
219,219,1,1,"Bartenders are very nice and friendly and so are most of the patrons I've encountered here. I'm giving a one star because of the horrible ""artwork"" that is...",1,2017-06-08 17:54:56,Yolanda G.,Bad
220,220,2,2,"The SUNRISE SALOON is for everybody if you're 21 and like to get out and have a great time. Live music, great food, and the best bartenders in town",5,2020-03-04 00:48:43,Kammy Z.,Good
221,221,0,0,"Food is always yummy and healthy-Thus the 5 star rating

BUT, DISAPPOINTED that the prices went up (which I completely understand), but the fact that the...",5,2018-04-19 14:55:17,Pedge C.,Good
222,222,1,1,I've lived in and been to Missoula so many times yet this was the first time I've been here. It was so refreshing and light and just the right amount of...,4,2020-09-19 15:41:07,Kandyce K.,Good
